Step	Ages	Fvolc
1	0	1
2	5	1.077871048
3	10	1.112698696
4	15	1.148766645
5	20	1.18896893
6	25	1.224459725
7	30	1.256385069
8	35	1.287557302
9	40	1.317354289
10	45	1.357956778
11	50	1.409037328
12	55	1.453402851
13	60	1.494332779
14	65	1.536702983
15	70	1.583139846
16	75	1.624263261
17	80	1.64767518
18	85	1.660718184
19	90	1.657170923
20	95	1.657825802
21	100	1.679109365
22	105	1.697445972
23	110	1.712924927
24	115	1.666208251
25	120	1.551277014
26	125	1.441715783
27	130	1.33529797
28	135	1.265851045
29	140	1.248437221
30	145	1.242930285
31	150	1.25647437
32	155	1.254271596
33	160	1.223313687
34	165	1.190667976
35	170	1.15448592
36	175	1.125409299
37	180	1.104125737
38	185	1.084888671
39	190	1.090209561
40	195	1.095530452
41	200	1.120716001
42	205	1.140935385
43	210	1.128519974
44	215	1.116104562
45	220	1.106388045
46	225	1.096713699
47	230	1.09119188
48	235	1.085870989
49	240	1.097053045
50	245	1.114079895
51	250	1.126272549
52	255	1.137881765
53	260	1.122819551
54	265	1.103470858
55	270	1.080746562
56	275	1.057334643
57	280	1.13870334
58	285	1.21021611
59	290	1.21021611
60	295	1.21021611
61	300	1.181925344
62	305	1.143614931
63	310	1.111732406
64	315	1.080625661
65	320	1.065880812
66	325	1.068009168
67	330	1.14302554
68	335	1.257956778
69	340	1.343942371
70	345	1.422691552
71	350	1.4280179
72	355	1.42979153
73	360	1.417395964
74	365	1.39998214
75	370	1.389414776
76	375	1.381675299
77	380	1.371971185
78	385	1.361329404
79	390	1.359692207
80	395	1.368560358
81	400	1.391617551
82	405	1.458128684
83	410	1.49257804
84	415	1.517408863
85	420	1.53384533
86	425	1.543519676
87	430	1.549145681
88	435	1.55108055
89	440	1.544204322
90	445	1.52824165
91	450	1.517288802
92	455	1.519417158
93	460	1.517102413
94	465	1.508916427
95	470	1.500785855
96	475	1.494400786
97	480	1.489908912
98	485	1.493778651
99	490	1.499017682
100	495	1.511787819
101	500	1.534817725
102	505	1.580932111
103	510	1.626719057
104	515	1.669286182
105	520	1.705661725
106	525	1.647615646
107	530	1.58729535
108	535	1.455337263
109	540	1.335625409
110	545	1.270001091
