Age	CO2	SD
0	284.99	26.28
5	309.31	41.31
10	305.48	53.94
15	308.37	45.55
20	344.46	59.45
25	485.39	53.76
30	714.2	51.39
35	889.34	73.61
40	793.69	94.84
45	765.19	115.27
50	804.4	110.63
55	610.47	88.13
60	359.42	57.88
65	256.96	48.68
70	307.57	83.97
75	545.38	174.54
80	685.04	235.26
85	623.93	218.13
90	488.97	177.85
95	590.11	146.94
100	875.17	188.51
105	1027.67	188.41
110	1089.69	226.56
115	1124.75	210.19
120	1049.73	167.89
125	906.23	191.78
130	886.57	208.52
135	970.84	253.23
140	911.75	203.76
145	733.83	192.84
150	765.43	226.93
155	812.53	313.15
160	798.55	286.24
165	882.61	160.34
170	1038.82	158.26
175	1020.56	255.59
180	944.82	227.39
185	928.5	209.68
190	1134.88	304.38
195	1686.8	419.37
200	1720.23	330.49
205	1525.86	308.54
210	1256.61	266.47
215	1325.24	290.4
220	1617.92	340.64
225	2007.13	484.15
230	1874.77	490.06
235	1389.1	507.86
240	795.57	433.48
245	437.6	233.59
250	749.09	395.99
255	818.84	426.67
260	517.78	323.33
265	330.92	207.06
270	340.54	143.59
275	525.12	186.98
280	643.69	187.54
285	612.92	160.78
290	545.28	168.21
295	442.27	168.8
300	418.17	168.36
305	373.73	148.86
310	343.81	121.5
315	333.53	76.93
320	335.48	109.18
325	338.76	139.38
330	292.1	155.97
335	241.72	155
340	290.24	167.63
345	522.69	287.24
350	643.54	404.04
355	588.82	414.55
360	637.87	446.41
365	802.12	429.97
370	842.62	477.33
375	1121.73	743.25
380	1216.65	775.93
385	1233.5	740.66
390	1043.09	565.45
395	1404.4	688.13
400	1808.72	806.93
405	1843.54	693.6
410	2064.13	663.35
415	1686.45	670.07
420	2146.53	1007.8
425	1847.89	844.31
430	1549.24	680.82
435	1678.36	780.01
440	1807.48	879.21
445	1952.12	926.71
450	2096.77	974.22
455	2058.1	948.97
460	2019.43	923.71
465	2381.42	1137.93
470	2743.41	1352.15
475	2854.77	1410.23
480	2966.13	1468.3
485	2774.82	1371.45
490	2583.52	1274.6
495	2682.43	1298.01
500	2781.34	1321.43
505	3302.82	1607.36
510	3824.3	1893.3
515	4572.15	2288.88
520	5320	2684.46
525	4738.72	2402.15
530	4157.43	2119.85
535	5269.43	2774.89
540	6381.43	3429.93
545	5669.73	3036.12
550	4958.02	2642.32
555	4820.72	2556.83
560	4683.42	2471.33
565	4588.72	2365.02
570	4494.02	2258.7
