Age	Mg	Ca
0	53	10
5	50	11
10	47	12
15	44	13
20	41	14
25	39	15
30	37	16
35	36.5	17
40	36	18
45	35.5	19
50	35	20
55	34.5	21
60	34	22
65	33.5	22.5
70	33.14285714	22.85714286
75	32.5	23.5
80	31.77777778	24.44444444
85	31.22222222	25.55555556
90	31	26.6
95	30.92857143	28.21428571
100	30	28.71428571
105	30.21428571	30.35714286
110	30	31.57142857
115	30	33
120	30	32.64285714
125	30	32.28571429
130	30	31.75
135	30	30
140	30	29
145	30	28
150	30	27.5
155	30	25
160	30	23
165	30	22
170	30	21.28571429
175	31	20
180	31	19.66666667
185	31	19.33333333
190	31	19
195	31.66666667	18.66666667
200	32.33333333	18.33333333
205	33	18
210	34.36363636	17.54545455
215	35.72727273	17.09090909
220	37.09090909	16.63636364
225	38.45454545	16.18181818
230	40.63636364	15.72727273
235	43.36363636	15.27272727
240	46	15
245	48.5	15
250	51	15
255	52.25	14.75
260	52.66666667	14.33333333
265	53	14
270	52.25	14
275	51.42857143	14
280	51	14
285	49.5	14
290	48	14
295	46.66666667	15
300	45	15
305	43	16
310	42.2	16.4
315	41	17
320	40.53846154	17.46153846
325	39.38461538	18.61538462
330	38.23076923	19.76923077
335	38	20.5
340	38	21
345	37.66666667	22.33333333
350	37	23
355	37	25.33333333
360	37	27
365	37	28.88888889
370	37	30
375	37.35714286	30.71428571
380	37.71428571	31.42857143
385	38	32
390	38	32.5
395	38	33
400	38	33
405	38	34
410	38.5	34
415	39	34
420	39	34
425	39	34
430	39	34
435	40	34
440	40	34
445	40	34
450	40	34
455	40	34.66666667
460	40	35
465	40.71428571	34.85714286
470	41.19047619	35.0952381
475	41.66666667	35.33333333
480	42.14285714	35.57142857
485	42.61904762	35.80952381
490	43	36
495	43	36
